UNIT PROCEDURE,SAMPLING POINT,PARAMETER NAME,PARAMETER DETAIL,RUN NUMBER,BATCH NUMBER,DATE OF MANUFACTURE,PROCESS START,PARAMETER DATE,LOCAL ID,VALUE_TEXT(Reported),VALUE_NUM(Recorded Full precision),UOM,LAL,UAL,LCL,UCL,LRL,URL,CL,NEL 1,NEL 2,NEL 3,NEL 4,PPK,REP,CONTROL_PRECISION,ACTION_PRECISION,REJECTION_PRECISION,SCALE,SUMMARY TABLE,DISPOSITION_DATE,RESULT_TYPE,SOURCE_SYSTEM,CTRL_VIOLATION,ACTION_VIOLATION,REJ_VIOLATION
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010365300,0010365300-PRDS-000616,2018/02/02 00:00:00,2018/02/02 00:00:00,2018/02/02 00:00:00,.,90.646,90.646,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010367213,0010367213-PRDS-000745,2018/02/20 00:00:00,2018/02/20 00:00:00,2018/02/20 00:00:00,.,90.692,90.692,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010370497,0010370497-PRDS-000745,2018/02/27 00:00:00,2018/02/27 00:00:00,2018/02/27 00:00:00,.,90.463,90.463,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010371255,0010371255-PRDS-000745,2018/03/01 00:00:00,2018/03/01 00:00:00,2018/03/01 00:00:00,.,90.567,90.567,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010373044,0010373044-PRDS-000745,2018/03/07 00:00:00,2018/03/07 00:00:00,2018/03/07 00:00:00,.,90.239,90.239,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010373630,0010373630-PRDS-000745,2018/03/13 00:00:00,2018/03/13 00:00:00,2018/03/13 00:00:00,.,90.481,90.481,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010378271,0010378271-PRDS-000616,2018/03/30 00:00:00,2018/03/30 00:00:00,2018/03/30 00:00:00,.,87.425,87.425,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010376515,0010376515-PRDS-000745,2018/04/03 00:00:00,2018/04/03 00:00:00,2018/04/03 00:00:00,.,88.015,88.015,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010376522,0010376522-PRDS-000745,2018/05/15 00:00:00,2018/05/15 00:00:00,2018/05/15 00:00:00,.,88.713,88.713,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010392291,0010392291-PRDS-000745,2018/05/22 00:00:00,2018/05/22 00:00:00,2018/05/22 00:00:00,.,90.011,90.011,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010392296,0010392296-PRDS-000616,2018/05/25 00:00:00,2018/05/25 00:00:00,2018/05/25 00:00:00,.,89.691,89.691,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010397175,0010397175-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,89.905,89.905,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010408213,0010408213-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,89.933,89.933,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010404297,0010404297-PRDS-000745,2018/07/18 00:00:00,2018/07/18 00:00:00,2018/07/18 00:00:00,.,89.601,89.601,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010408402,0010408402-PRDS-000745,2018/07/24 00:00:00,2018/07/24 00:00:00,2018/07/24 00:00:00,.,89.853,89.853,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010409909,0010409909-PRDS-000745,2018/08/21 00:00:00,2018/08/21 00:00:00,2018/08/21 00:00:00,.,90.244,90.244,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010413834,0010413834-PRDS-000745,2018/08/23 00:00:00,2018/08/23 00:00:00,2018/08/23 00:00:00,.,89.750,89.75,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,I,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
